AM,Ampoule
AT,Assortment
AY,Assembly
BA,Ball
BD,Bundle
BE,Bale
BF,Board Foot
BG,Bag
BK,Book
BL,Barrel
BO,Bolt
BQ,Briquet
BR,Bar
BT,Bottle
BX,Box
CA,Cartridge
CB,Carboy
CC,Cubic Centimeter
CD,Cubic Yard
CE,Cone
CF,Cubic Foot
CG,Centigram
CI,Cubic Inch
CK,Cake
CL,Coil
CM,Centimeter
CN,Can
CO,Container
CU,Curie
CY,Cylinder
RA,Ration
CZ,Cubic Meter
DC,Decagram
DE,Decimeter
DG,Decigram
DL,Deciliter
DM,Dram
DR,Drum
DW,Pennyweight
DZ,Dozen
EA,Each
EX,Exposure
FD,Fold
FR,Frame
FT,Foot
FV,Five
FY,Fifty
GG,Great Gross
GI,Gill
GL,Gallon
GM,Gram
GN,Grain
GP,Group
GR,Gross
HD,Hundred
HF,Hundred Feet
HK,Hank
HP,Hundred Pounds
HS,Hundred Square
HW,Hundred Weight
HY,Hundred Yards
IN,Inch
JR,Jar 
KG,Kilogram
KM,Kilometer
KR,Carat
KT,Kit
LB,Pound
LF,Linear Foot
LG,Length
LI,Liter
LI,Liter
MC,Thousand Cubic
MC,Thousand 
ME,Meal
MF,Thousand Feet
MG,Milligram
MI,Mile
ML,Milliliter
MM,Millimeter
MR,Meter
MX,Thousand
OT,Outfit
OZ,Ounce
PD,Pad
PG,Package
PI,Pillow
PM,Plate
PR,Pair
PT,Pint
PX,Pellet
PZ,Packet
QT,Quart
RD,Round
RL,Reel
RM,Ream
RO,Roll
RX,Thousand Rounds
SD,Skid
SE,Set
SF,Square Foot
SH,Sheet
SI,Square Inch
SK,Skein
SL,Spool
SM,Square Meter
SO,Shot
SP,Strip
SQ,Square
SX,Stick
SY,Square Yard
TD,Twenty-four
TE,Ten
TF,Twenty-five
TN,"Ton (2,000 lb)"
TO,Troy Ounce
TS,Thirty-six
TT,Tablet
TU,Tube
US,U.S.P. Unit
VI,Vial
YD,Yard
